,Año,Day,Tiempo,PRN,S4,Az,Elv
458,21,095,2694,19,0.08,69.2,35.6
459,21,095,2694,24,0.17,238.0,17.5
460,21,095,2694,28,0.16,150.3,23.7
461,21,095,2754,2,0.14,357.2,17.1
462,21,095,2754,5,0.05,295.2,63.4
463,21,095,2754,12,0.11,314.3,34.7
464,21,095,2754,13,0.13,170.7,40.6
465,21,095,2754,14,0.27,148.8,16.5
466,21,095,2754,15,0.16,206.1,22.5
467,21,095,2754,17,0.12,94.4,29.2
468,21,095,2754,19,0.08,69.8,35.7
469,21,095,2754,24,0.17,237.6,17.5
470,21,095,2754,28,0.34,150.4,23.3
471,21,095,2814,2,0.11,357.6,17.1
472,21,095,2814,5,0.06,296.4,63.2
473,21,095,2814,12,0.08,313.9,35.1
474,21,095,2814,13,0.18,170.3,40.9
475,21,095,2814,14,0.23,148.8,16.1
476,21,095,2814,15,0.13,206.0,22.9
477,21,095,2814,17,0.18,95.0,29.1
478,21,095,2814,19,0.07,70.4,35.8
479,21,095,2814,24,0.15,237.1,17.5
480,21,095,2814,28,0.22,150.4,22.9
481,21,095,2874,2,0.16,358.0,17.0
482,21,095,2874,5,0.05,297.5,63.0
483,21,095,2874,12,0.07,313.6,35.4
484,21,095,2874,13,0.16,169.8,41.3
485,21,095,2874,14,0.21,148.8,15.7
486,21,095,2874,15,0.13,205.8,23.2
487,21,095,2874,17,0.15,95.5,29.1
488,21,095,2874,19,0.1,71.0,36.0
489,21,095,2874,24,0.17,236.7,17.6
490,21,095,2874,28,0.18,150.4,22.5
491,21,095,2934,2,0.15,358.4,17.0
492,21,095,2934,5,0.05,298.5,62.8
493,21,095,2934,12,0.13,313.2,35.8
494,21,095,2934,13,0.11,169.4,41.6
495,21,095,2934,14,0.15,148.8,15.3
496,21,095,2934,15,0.13,205.7,23.6
497,21,095,2934,17,0.16,96.1,29.0
498,21,095,2934,19,0.08,71.6,36.1
499,21,095,2934,24,0.18,236.3,17.6
500,21,095,2934,28,0.18,150.4,22.0
501,21,095,2994,2,0.16,358.7,16.9
502,21,095,2994,5,0.06,299.6,62.6
503,21,095,2994,12,0.11,312.8,36.1
